post_id,year,price,beds,word
pre2013_151939,2006,1600,2,beautiful
pre2013_134800,2005,1975,3,beautiful
pre2013_140975,2005,1650,2,beautiful
pre2013_79572,2006,1850,1,beautiful
4258064273,2013,1550,0,beautiful
pre2013_12004,2011,2800,3,beautiful
pre2013_33286,2011,1200,3,beautiful
pre2013_617,2006,930,1,beautiful
pre2013_155667,2006,1450,2,beautiful
4619929074,2014,1495,1,beautiful
4623052434,2014,2400,2,beautiful
pre2013_15520,2012,1285,1,beautiful
pre2013_156101,2006,1800,2,beautiful
pre2013_144267,2005,1400,2,beautiful
pre2013_82530,2006,1400,2,beautiful
pre2013_141860,2005,1200,1,beautiful
5411613312,2016,2895,2,beautiful
pre2013_22706,2012,570,6,beautiful
pre2013_4569,2008,1550,1,beautiful
pre2013_27670,2007,925,0,beautiful
pre2013_137163,2005,2250,3,beautiful
pre2013_57505,2012,1100,1,beautiful
pre2013_139239,2005,1700,2,beautiful
5509313640,2016,1750,0,beautiful
pre2013_141504,2005,3000,4,beautiful
3878843267,2013,3125,2,beautiful
5745320340,2016,3895,3,beautiful
pre2013_139073,2005,625,2,beautiful
pre2013_152277,2006,850,1,beautiful
pre2013_141553,2005,1485,3,beautiful
pre2013_134867,2005,4000,3,beautiful
pre2013_131974,2004,1900,2,beautiful
pre2013_22672,2012,900,2,beautiful
pre2013_150847,2006,1100,1,beautiful
pre2013_28519,2008,1675,2,beautiful
pre2013_122113,2004,505,2,beautiful
pre2013_118912,2004,1250,1,beautiful
4804034750,2014,2000,1,beautiful
pre2013_137631,2005,800,0,beautiful
6558772968,2018,3935,3,beautiful
pre2013_120873,2004,1340,1,beautiful
3768895943,2013,1695,2,beautiful
pre2013_159329,2006,3000,3,beautiful
6447126282,2018,1400,0,beautiful
pre2013_151048,2006,1300,1,beautiful
5516062368,2016,2825,1,beautiful
pre2013_11937,2011,3700,3,beautiful
pre2013_10158,2011,1380,1,beautiful
pre2013_7975,2010,1575,2,beautiful
pre2013_152483,2006,2000,3,beautiful
pre2013_77326,2010,1775,2,beautiful
pre2013_8212,2010,2195,3,beautiful
pre2013_60179,2012,1895,2,beautiful
5439471024,2016,2795,3,beautiful
pre2013_125866,2004,545,1,beautiful
pre2013_158067,2006,3450,3,beautiful
pre2013_132593,2004,2000,2,beautiful
pre2013_63345,2012,1200,NA,beautiful
5637964109,2016,1950,0,beautiful
pre2013_158624,2006,1195,1,beautiful
pre2013_120867,2004,1195,1,beautiful
pre2013_3736,2008,4650,3,beautiful
5527144851,2016,2385,1,beautiful
pre2013_44842,2011,3135,2,beautiful
pre2013_133252,2005,1900,2,beautiful
pre2013_7982,2010,2195,3,beautiful
4910572779,2015,1950,1,beautiful
5541147991,2016,3150,2,beautiful
pre2013_143016,2005,875,0,beautiful
pre2013_8865,2011,1490,2,beautiful
pre2013_32334,2011,2400,2,beautiful
pre2013_62959,2012,1400,2,beautiful
pre2013_125709,2004,1650,2,beautiful
pre2013_119432,2004,1800,1,beautiful
pre2013_119448,2004,1695,2,beautiful
pre2013_2526,2006,1179,2,beautiful
6578438689,2018,1145,1,beautiful
6603800363,2018,2200,1,beautiful
pre2013_44134,2011,3150,3,beautiful
pre2013_143871,2005,2400,5,beautiful
pre2013_14932,2012,1600,1,beautiful
5219876819,2015,1980,0,beautiful
pre2013_155569,2006,2100,2,beautiful
5515731030,2016,2495,1,beautiful
pre2013_14351,2012,1675,1,beautiful
pre2013_9100,2011,2075,3,beautiful
pre2013_68172,2012,3200,5,beautiful
pre2013_41671,2011,2232,1,beautiful
5096132865,2015,1000,2,beautiful
pre2013_23799,2012,2800,2,beautiful
pre2013_69149,2012,1200,1,beautiful
pre2013_140677,2005,1700,2,beautiful
pre2013_86937,2003,600,1,beautiful
pre2013_129253,2004,980,1,beautiful
